
================================================================
         Multi-QPU Mapping by Ajou University QCSS Lab          
================================================================
Gate(    0)	 x q[12]
Gate(    1)	 x q[11]
Gate(    2)	 x q[10]
Gate(    3)	 x q[9]
Gate(    4)	 x q[8]
Gate(    5)	 x q[7]
Gate(    6)	 x q[6]
Gate(    7)	 x q[5]
Gate(    8)	 x q[4]
Gate(    9)	 x q[3]
Gate(   10)	 x q[2]
Gate(   11)	 x q[1]
Gate(   12)	 h q[14]
Gate(   13)	 t q[8]
Gate(   14)	 t q[7]
Gate(   15)	 t q[14]
Gate(   16)	cx q[7], q[8]
Gate(   17)	cx q[14], q[7]
Gate(   18)	cx q[8], q[14]
Gate(   19)	tdg q[7]
Gate(   20)	cx q[8], q[7]
Gate(   21)	tdg q[8]
Gate(   22)	tdg q[7]
Gate(   23)	 t q[14]
Gate(   24)	cx q[14], q[7]
Gate(   25)	cx q[8], q[14]
Gate(   26)	cx q[7], q[8]
Gate(   27)	 h q[14]
Gate(   28)	 h q[7]
Gate(   29)	 t q[9]
Gate(   30)	 t q[6]
Gate(   31)	 t q[7]
Gate(   32)	cx q[6], q[9]
Gate(   33)	cx q[7], q[6]
Gate(   34)	cx q[9], q[7]
Gate(   35)	tdg q[6]
Gate(   36)	cx q[9], q[6]
Gate(   37)	tdg q[9]
Gate(   38)	tdg q[6]
Gate(   39)	 t q[7]
Gate(   40)	cx q[7], q[6]
Gate(   41)	cx q[9], q[7]
Gate(   42)	cx q[6], q[9]
Gate(   43)	 h q[7]
Gate(   44)	 h q[6]
Gate(   45)	 t q[10]
Gate(   46)	 t q[5]
Gate(   47)	 t q[6]
Gate(   48)	cx q[5], q[10]
Gate(   49)	cx q[6], q[5]
Gate(   50)	cx q[10], q[6]
Gate(   51)	tdg q[5]
Gate(   52)	cx q[10], q[5]
Gate(   53)	tdg q[10]
Gate(   54)	tdg q[5]
Gate(   55)	 t q[6]
Gate(   56)	cx q[6], q[5]
Gate(   57)	cx q[10], q[6]
Gate(   58)	cx q[5], q[10]
Gate(   59)	 h q[6]
Gate(   60)	 h q[5]
Gate(   61)	 t q[11]
Gate(   62)	 t q[4]
Gate(   63)	 t q[5]
Gate(   64)	cx q[4], q[11]
Gate(   65)	cx q[5], q[4]
Gate(   66)	cx q[11], q[5]
Gate(   67)	tdg q[4]
Gate(   68)	cx q[11], q[4]
Gate(   69)	tdg q[11]
Gate(   70)	tdg q[4]
Gate(   71)	 t q[5]
Gate(   72)	cx q[5], q[4]
Gate(   73)	cx q[11], q[5]
Gate(   74)	cx q[4], q[11]
Gate(   75)	 h q[5]
Gate(   76)	 h q[4]
Gate(   77)	 t q[13]
Gate(   78)	 t q[12]
Gate(   79)	 t q[4]
Gate(   80)	cx q[12], q[13]
Gate(   81)	cx q[4], q[12]
Gate(   82)	cx q[13], q[4]
Gate(   83)	tdg q[12]
Gate(   84)	cx q[13], q[12]
Gate(   85)	tdg q[13]
Gate(   86)	tdg q[12]
Gate(   87)	 t q[4]
Gate(   88)	cx q[4], q[12]
Gate(   89)	cx q[13], q[4]
Gate(   90)	cx q[12], q[13]
Gate(   91)	 h q[4]
Gate(   92)	 h q[5]
Gate(   93)	 t q[11]
Gate(   94)	 t q[4]
Gate(   95)	 t q[5]
Gate(   96)	cx q[4], q[11]
Gate(   97)	cx q[5], q[4]
Gate(   98)	cx q[11], q[5]
Gate(   99)	tdg q[4]
Gate(  100)	cx q[11], q[4]
Gate(  101)	tdg q[11]
Gate(  102)	tdg q[4]
Gate(  103)	 t q[5]
Gate(  104)	cx q[5], q[4]
Gate(  105)	cx q[11], q[5]
Gate(  106)	cx q[4], q[11]
Gate(  107)	 h q[5]
Gate(  108)	 h q[6]
Gate(  109)	 t q[10]
Gate(  110)	 t q[5]
Gate(  111)	 t q[6]
Gate(  112)	cx q[5], q[10]
Gate(  113)	cx q[6], q[5]
Gate(  114)	cx q[10], q[6]
Gate(  115)	tdg q[5]
Gate(  116)	cx q[10], q[5]
Gate(  117)	tdg q[10]
Gate(  118)	tdg q[5]
Gate(  119)	 t q[6]
Gate(  120)	cx q[6], q[5]
Gate(  121)	cx q[10], q[6]
Gate(  122)	cx q[5], q[10]
Gate(  123)	 h q[6]
Gate(  124)	 h q[7]
Gate(  125)	 t q[9]
Gate(  126)	 t q[6]
Gate(  127)	 t q[7]
Gate(  128)	cx q[6], q[9]
Gate(  129)	cx q[7], q[6]
Gate(  130)	cx q[9], q[7]
Gate(  131)	tdg q[6]
Gate(  132)	cx q[9], q[6]
Gate(  133)	tdg q[9]
Gate(  134)	tdg q[6]
Gate(  135)	 t q[7]
Gate(  136)	cx q[7], q[6]
Gate(  137)	cx q[9], q[7]
Gate(  138)	cx q[6], q[9]
Gate(  139)	 h q[7]
Gate(  140)	 h q[14]
Gate(  141)	 t q[8]
Gate(  142)	 t q[7]
Gate(  143)	 t q[14]
Gate(  144)	cx q[7], q[8]
Gate(  145)	cx q[14], q[7]
Gate(  146)	cx q[8], q[14]
Gate(  147)	tdg q[7]
Gate(  148)	cx q[8], q[7]
Gate(  149)	tdg q[8]
Gate(  150)	tdg q[7]
Gate(  151)	 t q[14]
Gate(  152)	cx q[14], q[7]
Gate(  153)	cx q[8], q[14]
Gate(  154)	cx q[7], q[8]
Gate(  155)	 h q[14]
Gate(  156)	 h q[7]
Gate(  157)	 t q[9]
Gate(  158)	 t q[6]
Gate(  159)	 t q[7]
Gate(  160)	cx q[6], q[9]
Gate(  161)	cx q[7], q[6]
Gate(  162)	cx q[9], q[7]
Gate(  163)	tdg q[6]
Gate(  164)	cx q[9], q[6]
Gate(  165)	tdg q[9]
Gate(  166)	tdg q[6]
Gate(  167)	 t q[7]
Gate(  168)	cx q[7], q[6]
Gate(  169)	cx q[9], q[7]
Gate(  170)	cx q[6], q[9]
Gate(  171)	 h q[7]
Gate(  172)	 h q[6]
Gate(  173)	 t q[10]
Gate(  174)	 t q[5]
Gate(  175)	 t q[6]
Gate(  176)	cx q[5], q[10]
Gate(  177)	cx q[6], q[5]
Gate(  178)	cx q[10], q[6]
Gate(  179)	tdg q[5]
Gate(  180)	cx q[10], q[5]
Gate(  181)	tdg q[10]
Gate(  182)	tdg q[5]
Gate(  183)	 t q[6]
Gate(  184)	cx q[6], q[5]
Gate(  185)	cx q[10], q[6]
Gate(  186)	cx q[5], q[10]
Gate(  187)	 h q[6]
Gate(  188)	 h q[5]
Gate(  189)	 t q[11]
Gate(  190)	 t q[4]
Gate(  191)	 t q[5]
Gate(  192)	cx q[4], q[11]
Gate(  193)	cx q[5], q[4]
Gate(  194)	cx q[11], q[5]
Gate(  195)	tdg q[4]
Gate(  196)	cx q[11], q[4]
Gate(  197)	tdg q[11]
Gate(  198)	tdg q[4]
Gate(  199)	 t q[5]
Gate(  200)	cx q[5], q[4]
Gate(  201)	cx q[11], q[5]
Gate(  202)	cx q[4], q[11]
Gate(  203)	 h q[5]
Gate(  204)	 h q[4]
Gate(  205)	 t q[13]
Gate(  206)	 t q[12]
Gate(  207)	 t q[4]
Gate(  208)	cx q[12], q[13]
