
================================================================
         Multi-QPU Mapping by Ajou University QCSS Lab          
================================================================
Gate(    0)	 h q[0]
Gate(    1)	 h q[1]
Gate(    2)	 h q[2]
Gate(    3)	 h q[3]
Gate(    4)	 h q[4]
Gate(    5)	 h q[5]
Gate(    6)	 h q[6]
Gate(    7)	 h q[7]
Gate(    8)	 h q[8]
Gate(    9)	 h q[9]
Gate(   10)	 h q[10]
Gate(   11)	 h q[11]
Gate(   12)	 h q[12]
Gate(   13)	 h q[13]
Gate(   14)	 h q[14]
Gate(   15)	 h q[15]
Gate(   16)	rz q[0]
Gate(   17)	rz q[1]
Gate(   18)	rz q[1]
Gate(   19)	cx q[0], q[1]
Gate(   20)	rz q[1]
Gate(   21)	cx q[0], q[1]
Gate(   22)	rz q[2]
Gate(   23)	rz q[3]
Gate(   24)	rz q[3]
Gate(   25)	cx q[2], q[3]
Gate(   26)	rz q[3]
Gate(   27)	cx q[2], q[3]
Gate(   28)	rz q[4]
Gate(   29)	rz q[5]
Gate(   30)	rz q[5]
Gate(   31)	cx q[4], q[5]
Gate(   32)	rz q[5]
Gate(   33)	cx q[4], q[5]
Gate(   34)	rz q[6]
Gate(   35)	rz q[7]
Gate(   36)	rz q[7]
Gate(   37)	cx q[6], q[7]
Gate(   38)	rz q[7]
Gate(   39)	cx q[6], q[7]
Gate(   40)	rz q[8]
Gate(   41)	rz q[9]
Gate(   42)	rz q[9]
Gate(   43)	cx q[8], q[9]
Gate(   44)	rz q[9]
Gate(   45)	cx q[8], q[9]
Gate(   46)	rz q[10]
Gate(   47)	rz q[11]
Gate(   48)	rz q[11]
Gate(   49)	cx q[10], q[11]
Gate(   50)	rz q[11]
Gate(   51)	cx q[10], q[11]
Gate(   52)	rz q[12]
Gate(   53)	rz q[13]
Gate(   54)	rz q[13]
Gate(   55)	cx q[12], q[13]
Gate(   56)	rz q[13]
Gate(   57)	cx q[12], q[13]
Gate(   58)	rz q[14]
Gate(   59)	rz q[15]
Gate(   60)	rz q[15]
Gate(   61)	cx q[14], q[15]
Gate(   62)	rz q[15]
Gate(   63)	cx q[14], q[15]
Gate(   64)	rz q[1]
Gate(   65)	rz q[2]
Gate(   66)	rz q[2]
Gate(   67)	cx q[1], q[2]
Gate(   68)	rz q[2]
Gate(   69)	cx q[1], q[2]
Gate(   70)	rz q[3]
Gate(   71)	rz q[4]
Gate(   72)	rz q[4]
Gate(   73)	cx q[3], q[4]
Gate(   74)	rz q[4]
Gate(   75)	cx q[3], q[4]
Gate(   76)	rz q[5]
Gate(   77)	rz q[6]
Gate(   78)	rz q[6]
Gate(   79)	cx q[5], q[6]
Gate(   80)	rz q[6]
Gate(   81)	cx q[5], q[6]
Gate(   82)	rz q[7]
Gate(   83)	rz q[8]
Gate(   84)	rz q[8]
Gate(   85)	cx q[7], q[8]
Gate(   86)	rz q[8]
Gate(   87)	cx q[7], q[8]
Gate(   88)	rz q[9]
Gate(   89)	rz q[10]
Gate(   90)	rz q[10]
Gate(   91)	cx q[9], q[10]
Gate(   92)	rz q[10]
