
================================================================
         Multi-QPU Mapping by Ajou University QCSS Lab          
================================================================
Gate(    0)	 x q[14]
Gate(    1)	 h q[6]
Gate(    2)	 t q[11]
Gate(    3)	 t q[10]
Gate(    4)	 t q[6]
Gate(    5)	cx q[10], q[11]
Gate(    6)	cx q[6], q[10]
Gate(    7)	cx q[11], q[6]
Gate(    8)	tdg q[10]
Gate(    9)	cx q[11], q[10]
Gate(   10)	tdg q[11]
Gate(   11)	tdg q[10]
Gate(   12)	 t q[6]
Gate(   13)	cx q[6], q[10]
Gate(   14)	cx q[11], q[6]
Gate(   15)	cx q[10], q[11]
Gate(   16)	 h q[6]
Gate(   17)	 h q[10]
Gate(   18)	 t q[12]
Gate(   19)	 t q[9]
Gate(   20)	 t q[10]
Gate(   21)	cx q[9], q[12]
Gate(   22)	cx q[10], q[9]
Gate(   23)	cx q[12], q[10]
Gate(   24)	tdg q[9]
Gate(   25)	cx q[12], q[9]
Gate(   26)	tdg q[12]
Gate(   27)	tdg q[9]
Gate(   28)	 t q[10]
Gate(   29)	cx q[10], q[9]
Gate(   30)	cx q[12], q[10]
Gate(   31)	cx q[9], q[12]
Gate(   32)	 h q[10]
Gate(   33)	 h q[9]
Gate(   34)	 t q[14]
Gate(   35)	 t q[13]
Gate(   36)	 t q[9]
Gate(   37)	cx q[13], q[14]
Gate(   38)	cx q[9], q[13]
Gate(   39)	cx q[14], q[9]
Gate(   40)	tdg q[13]
Gate(   41)	cx q[14], q[13]
Gate(   42)	tdg q[14]
Gate(   43)	tdg q[13]
Gate(   44)	 t q[9]
Gate(   45)	cx q[9], q[13]
Gate(   46)	cx q[14], q[9]
Gate(   47)	cx q[13], q[14]
Gate(   48)	 h q[9]
Gate(   49)	 h q[10]
Gate(   50)	 t q[12]
Gate(   51)	 t q[9]
Gate(   52)	 t q[10]
Gate(   53)	cx q[9], q[12]
Gate(   54)	cx q[10], q[9]
Gate(   55)	cx q[12], q[10]
Gate(   56)	tdg q[9]
Gate(   57)	cx q[12], q[9]
Gate(   58)	tdg q[12]
Gate(   59)	tdg q[9]
Gate(   60)	 t q[10]
Gate(   61)	cx q[10], q[9]
Gate(   62)	cx q[12], q[10]
Gate(   63)	cx q[9], q[12]
Gate(   64)	 h q[10]
Gate(   65)	 h q[6]
Gate(   66)	 t q[11]
Gate(   67)	 t q[10]
Gate(   68)	 t q[6]
Gate(   69)	cx q[10], q[11]
Gate(   70)	cx q[6], q[10]
Gate(   71)	cx q[11], q[6]
Gate(   72)	tdg q[10]
Gate(   73)	cx q[11], q[10]
Gate(   74)	tdg q[11]
Gate(   75)	tdg q[10]
Gate(   76)	 t q[6]
Gate(   77)	cx q[6], q[10]
Gate(   78)	cx q[11], q[6]
Gate(   79)	cx q[10], q[11]
Gate(   80)	 h q[6]
Gate(   81)	 h q[10]
Gate(   82)	 t q[12]
Gate(   83)	 t q[9]
Gate(   84)	 t q[10]
Gate(   85)	cx q[9], q[12]
