
================================================================
         Multi-QPU Mapping by Ajou University QCSS Lab          
================================================================
Gate(    0)	 h q[2]
Gate(    1)	 t q[8]
Gate(    2)	 t q[6]
Gate(    3)	 t q[2]
Gate(    4)	cx q[6], q[8]
Gate(    5)	cx q[2], q[6]
Gate(    6)	cx q[8], q[2]
Gate(    7)	tdg q[6]
Gate(    8)	cx q[8], q[6]
Gate(    9)	tdg q[8]
Gate(   10)	tdg q[6]
Gate(   11)	 t q[2]
Gate(   12)	cx q[2], q[6]
Gate(   13)	cx q[8], q[2]
Gate(   14)	cx q[6], q[8]
Gate(   15)	 h q[2]
Gate(   16)	 h q[0]
Gate(   17)	 t q[8]
Gate(   18)	 t q[6]
Gate(   19)	 t q[0]
Gate(   20)	cx q[6], q[8]
Gate(   21)	cx q[0], q[6]
Gate(   22)	cx q[8], q[0]
Gate(   23)	tdg q[6]
Gate(   24)	cx q[8], q[6]
Gate(   25)	tdg q[8]
Gate(   26)	tdg q[6]
Gate(   27)	 t q[0]
Gate(   28)	cx q[0], q[6]
Gate(   29)	cx q[8], q[0]
Gate(   30)	cx q[6], q[8]
Gate(   31)	 h q[0]
Gate(   32)	 h q[2]
Gate(   33)	 t q[9]
Gate(   34)	 t q[8]
Gate(   35)	 t q[2]
Gate(   36)	cx q[8], q[9]
Gate(   37)	cx q[2], q[8]
Gate(   38)	cx q[9], q[2]
Gate(   39)	tdg q[8]
Gate(   40)	cx q[9], q[8]
Gate(   41)	tdg q[9]
Gate(   42)	tdg q[8]
Gate(   43)	 t q[2]
Gate(   44)	cx q[2], q[8]
Gate(   45)	cx q[9], q[2]
Gate(   46)	cx q[8], q[9]
Gate(   47)	 h q[2]
Gate(   48)	 h q[0]
Gate(   49)	 t q[9]
Gate(   50)	 t q[8]
Gate(   51)	 t q[0]
Gate(   52)	cx q[8], q[9]
Gate(   53)	cx q[0], q[8]
Gate(   54)	cx q[9], q[0]
Gate(   55)	tdg q[8]
Gate(   56)	cx q[9], q[8]
Gate(   57)	tdg q[9]
Gate(   58)	tdg q[8]
Gate(   59)	 t q[0]
Gate(   60)	cx q[0], q[8]
Gate(   61)	cx q[9], q[0]
Gate(   62)	cx q[8], q[9]
Gate(   63)	 h q[0]
Gate(   64)	 h q[1]
Gate(   65)	 t q[8]
Gate(   66)	 t q[4]
Gate(   67)	 t q[1]
Gate(   68)	cx q[4], q[8]
Gate(   69)	cx q[1], q[4]
Gate(   70)	cx q[8], q[1]
Gate(   71)	tdg q[4]
Gate(   72)	cx q[8], q[4]
Gate(   73)	tdg q[8]
Gate(   74)	tdg q[4]
Gate(   75)	 t q[1]
Gate(   76)	cx q[1], q[4]
Gate(   77)	cx q[8], q[1]
Gate(   78)	cx q[4], q[8]
Gate(   79)	 h q[1]
Gate(   80)	 h q[2]
Gate(   81)	 t q[7]
Gate(   82)	 t q[4]
Gate(   83)	 t q[2]
Gate(   84)	cx q[4], q[7]
Gate(   85)	cx q[2], q[4]
Gate(   86)	cx q[7], q[2]
Gate(   87)	tdg q[4]
Gate(   88)	cx q[7], q[4]
Gate(   89)	tdg q[7]
Gate(   90)	tdg q[4]
Gate(   91)	 t q[2]
Gate(   92)	cx q[2], q[4]
Gate(   93)	cx q[7], q[2]
Gate(   94)	cx q[4], q[7]
Gate(   95)	 h q[2]
Gate(   96)	 h q[0]
Gate(   97)	 t q[7]
Gate(   98)	 t q[4]
Gate(   99)	 t q[0]
Gate(  100)	cx q[4], q[7]
Gate(  101)	cx q[0], q[4]
Gate(  102)	cx q[7], q[0]
Gate(  103)	tdg q[4]
Gate(  104)	cx q[7], q[4]
Gate(  105)	tdg q[7]
Gate(  106)	tdg q[4]
Gate(  107)	 t q[0]
Gate(  108)	cx q[0], q[4]
Gate(  109)	cx q[7], q[0]
Gate(  110)	cx q[4], q[7]
Gate(  111)	 h q[0]
Gate(  112)	cx q[6], q[2]
Gate(  113)	cx q[6], q[1]
Gate(  114)	 h q[2]
Gate(  115)	 t q[5]
Gate(  116)	 t q[4]
Gate(  117)	 t q[2]
Gate(  118)	cx q[4], q[5]
Gate(  119)	cx q[2], q[4]
Gate(  120)	cx q[5], q[2]
Gate(  121)	tdg q[4]
Gate(  122)	cx q[5], q[4]
Gate(  123)	tdg q[5]
Gate(  124)	tdg q[4]
Gate(  125)	 t q[2]
Gate(  126)	cx q[2], q[4]
Gate(  127)	cx q[5], q[2]
Gate(  128)	cx q[4], q[5]
Gate(  129)	 h q[2]
Gate(  130)	 h q[2]
Gate(  131)	 t q[9]
Gate(  132)	 t q[5]
Gate(  133)	 t q[2]
Gate(  134)	cx q[5], q[9]
Gate(  135)	cx q[2], q[5]
Gate(  136)	cx q[9], q[2]
Gate(  137)	tdg q[5]
Gate(  138)	cx q[9], q[5]
Gate(  139)	tdg q[9]
Gate(  140)	tdg q[5]
Gate(  141)	 t q[2]
Gate(  142)	cx q[2], q[5]
Gate(  143)	cx q[9], q[2]
Gate(  144)	cx q[5], q[9]
Gate(  145)	 h q[2]
Gate(  146)	 h q[1]
Gate(  147)	 t q[9]
Gate(  148)	 t q[5]
Gate(  149)	 t q[1]
Gate(  150)	cx q[5], q[9]
Gate(  151)	cx q[1], q[5]
Gate(  152)	cx q[9], q[1]
Gate(  153)	tdg q[5]
Gate(  154)	cx q[9], q[5]
Gate(  155)	tdg q[9]
Gate(  156)	tdg q[5]
Gate(  157)	 t q[1]
Gate(  158)	cx q[1], q[5]
Gate(  159)	cx q[9], q[1]
Gate(  160)	cx q[5], q[9]
Gate(  161)	 h q[1]
Gate(  162)	 h q[2]
Gate(  163)	 t q[9]
Gate(  164)	 t q[7]
Gate(  165)	 t q[2]
Gate(  166)	cx q[7], q[9]
Gate(  167)	cx q[2], q[7]
Gate(  168)	cx q[9], q[2]
Gate(  169)	tdg q[7]
Gate(  170)	cx q[9], q[7]
Gate(  171)	tdg q[9]
Gate(  172)	tdg q[7]
Gate(  173)	 t q[2]
Gate(  174)	cx q[2], q[7]
Gate(  175)	cx q[9], q[2]
Gate(  176)	cx q[7], q[9]
Gate(  177)	 h q[2]
Gate(  178)	 x q[8]
Gate(  179)	 h q[2]
Gate(  180)	 t q[8]
Gate(  181)	 t q[7]
Gate(  182)	 t q[2]
Gate(  183)	cx q[7], q[8]
Gate(  184)	cx q[2], q[7]
Gate(  185)	cx q[8], q[2]
Gate(  186)	tdg q[7]
Gate(  187)	cx q[8], q[7]
Gate(  188)	tdg q[8]
Gate(  189)	tdg q[7]
Gate(  190)	 t q[2]
Gate(  191)	cx q[2], q[7]
Gate(  192)	cx q[8], q[2]
Gate(  193)	cx q[7], q[8]
Gate(  194)	 h q[2]
Gate(  195)	 h q[0]
Gate(  196)	 t q[8]
Gate(  197)	 t q[7]
Gate(  198)	 t q[0]
Gate(  199)	cx q[7], q[8]
Gate(  200)	cx q[0], q[7]
Gate(  201)	cx q[8], q[0]
Gate(  202)	tdg q[7]
Gate(  203)	cx q[8], q[7]
Gate(  204)	tdg q[8]
Gate(  205)	tdg q[7]
Gate(  206)	 t q[0]
Gate(  207)	cx q[0], q[7]
Gate(  208)	cx q[8], q[0]
Gate(  209)	cx q[7], q[8]
Gate(  210)	 h q[0]
Gate(  211)	 h q[2]
Gate(  212)	 t q[3]
Gate(  213)	 t q[9]
Gate(  214)	 t q[2]
Gate(  215)	cx q[9], q[3]
Gate(  216)	cx q[2], q[9]
Gate(  217)	cx q[3], q[2]
Gate(  218)	tdg q[9]
Gate(  219)	cx q[3], q[9]
Gate(  220)	tdg q[3]
Gate(  221)	tdg q[9]
Gate(  222)	 t q[2]
Gate(  223)	cx q[2], q[9]
Gate(  224)	cx q[3], q[2]
Gate(  225)	cx q[9], q[3]
Gate(  226)	 h q[2]
Gate(  227)	 h q[9]
Gate(  228)	 t q[8]
Gate(  229)	 t q[5]
Gate(  230)	 t q[9]
Gate(  231)	cx q[5], q[8]
Gate(  232)	cx q[9], q[5]
Gate(  233)	cx q[8], q[9]
Gate(  234)	tdg q[5]
Gate(  235)	cx q[8], q[5]
Gate(  236)	tdg q[8]
Gate(  237)	tdg q[5]
Gate(  238)	 t q[9]
Gate(  239)	cx q[9], q[5]
Gate(  240)	cx q[8], q[9]
Gate(  241)	cx q[5], q[8]
Gate(  242)	 h q[9]
Gate(  243)	 h q[2]
Gate(  244)	 t q[3]
Gate(  245)	 t q[9]
Gate(  246)	 t q[2]
Gate(  247)	cx q[9], q[3]
Gate(  248)	cx q[2], q[9]
Gate(  249)	cx q[3], q[2]
Gate(  250)	tdg q[9]
Gate(  251)	cx q[3], q[9]
Gate(  252)	tdg q[3]
Gate(  253)	tdg q[9]
Gate(  254)	 t q[2]
Gate(  255)	cx q[2], q[9]
Gate(  256)	cx q[3], q[2]
Gate(  257)	cx q[9], q[3]
Gate(  258)	 h q[2]
Gate(  259)	 h q[9]
Gate(  260)	 t q[8]
Gate(  261)	 t q[5]
Gate(  262)	 t q[9]
Gate(  263)	cx q[5], q[8]
Gate(  264)	cx q[9], q[5]
Gate(  265)	cx q[8], q[9]
Gate(  266)	tdg q[5]
Gate(  267)	cx q[8], q[5]
Gate(  268)	tdg q[8]
Gate(  269)	tdg q[5]
Gate(  270)	 t q[9]
Gate(  271)	cx q[9], q[5]
Gate(  272)	cx q[8], q[9]
Gate(  273)	cx q[5], q[8]
Gate(  274)	 h q[9]
Gate(  275)	 h q[0]
Gate(  276)	 t q[3]
Gate(  277)	 t q[9]
Gate(  278)	 t q[0]
Gate(  279)	cx q[9], q[3]
Gate(  280)	cx q[0], q[9]
Gate(  281)	cx q[3], q[0]
Gate(  282)	tdg q[9]
Gate(  283)	cx q[3], q[9]
Gate(  284)	tdg q[3]
Gate(  285)	tdg q[9]
Gate(  286)	 t q[0]
Gate(  287)	cx q[0], q[9]
Gate(  288)	cx q[3], q[0]
Gate(  289)	cx q[9], q[3]
Gate(  290)	 h q[0]
Gate(  291)	 h q[9]
Gate(  292)	 t q[8]
Gate(  293)	 t q[5]
Gate(  294)	 t q[9]
Gate(  295)	cx q[5], q[8]
Gate(  296)	cx q[9], q[5]
Gate(  297)	cx q[8], q[9]
Gate(  298)	tdg q[5]
Gate(  299)	cx q[8], q[5]
Gate(  300)	tdg q[8]
Gate(  301)	tdg q[5]
Gate(  302)	 t q[9]
Gate(  303)	cx q[9], q[5]
Gate(  304)	cx q[8], q[9]
Gate(  305)	cx q[5], q[8]
Gate(  306)	 h q[9]
Gate(  307)	 h q[0]
Gate(  308)	 t q[3]
Gate(  309)	 t q[9]
Gate(  310)	 t q[0]
Gate(  311)	cx q[9], q[3]
Gate(  312)	cx q[0], q[9]
Gate(  313)	cx q[3], q[0]
Gate(  314)	tdg q[9]
Gate(  315)	cx q[3], q[9]
Gate(  316)	tdg q[3]
