
================================================================
         Multi-QPU Mapping by Ajou University QCSS Lab          
================================================================
Gate(    0)	cx q[10], q[2]
Gate(    1)	cx q[8], q[2]
Gate(    2)	cx q[8], q[0]
Gate(    3)	 h q[3]
Gate(    4)	 t q[5]
Gate(    5)	 t q[9]
Gate(    6)	 t q[3]
Gate(    7)	cx q[9], q[5]
Gate(    8)	cx q[3], q[9]
Gate(    9)	cx q[5], q[3]
Gate(   10)	tdg q[9]
Gate(   11)	cx q[5], q[9]
Gate(   12)	tdg q[5]
Gate(   13)	tdg q[9]
Gate(   14)	 t q[3]
Gate(   15)	cx q[3], q[9]
Gate(   16)	cx q[5], q[3]
Gate(   17)	cx q[9], q[5]
Gate(   18)	 h q[3]
Gate(   19)	 h q[9]
Gate(   20)	 t q[11]
Gate(   21)	 t q[10]
Gate(   22)	 t q[9]
Gate(   23)	cx q[10], q[11]
Gate(   24)	cx q[9], q[10]
Gate(   25)	cx q[11], q[9]
Gate(   26)	tdg q[10]
Gate(   27)	cx q[11], q[10]
Gate(   28)	tdg q[11]
Gate(   29)	tdg q[10]
Gate(   30)	 t q[9]
Gate(   31)	cx q[9], q[10]
Gate(   32)	cx q[11], q[9]
Gate(   33)	cx q[10], q[11]
Gate(   34)	 h q[9]
Gate(   35)	 h q[3]
Gate(   36)	 t q[5]
Gate(   37)	 t q[9]
Gate(   38)	 t q[3]
Gate(   39)	cx q[9], q[5]
Gate(   40)	cx q[3], q[9]
Gate(   41)	cx q[5], q[3]
Gate(   42)	tdg q[9]
Gate(   43)	cx q[5], q[9]
Gate(   44)	tdg q[5]
Gate(   45)	tdg q[9]
Gate(   46)	 t q[3]
Gate(   47)	cx q[3], q[9]
Gate(   48)	cx q[5], q[3]
Gate(   49)	cx q[9], q[5]
Gate(   50)	 h q[3]
Gate(   51)	 h q[9]
Gate(   52)	 t q[11]
Gate(   53)	 t q[10]
Gate(   54)	 t q[9]
Gate(   55)	cx q[10], q[11]
Gate(   56)	cx q[9], q[10]
Gate(   57)	cx q[11], q[9]
Gate(   58)	tdg q[10]
Gate(   59)	cx q[11], q[10]
Gate(   60)	tdg q[11]
Gate(   61)	tdg q[10]
Gate(   62)	 t q[9]
Gate(   63)	cx q[9], q[10]
Gate(   64)	cx q[11], q[9]
Gate(   65)	cx q[10], q[11]
Gate(   66)	 h q[9]
Gate(   67)	 h q[3]
Gate(   68)	 t q[6]
Gate(   69)	 t q[11]
Gate(   70)	 t q[3]
Gate(   71)	cx q[11], q[6]
Gate(   72)	cx q[3], q[11]
Gate(   73)	cx q[6], q[3]
Gate(   74)	tdg q[11]
