
================================================================
         Multi-QPU Mapping by Ajou University QCSS Lab          
================================================================
Gate(    0)	 x q[5]
Gate(    1)	 h q[1]
Gate(    2)	 t q[4]
Gate(    3)	 t q[9]
Gate(    4)	 t q[1]
Gate(    5)	cx q[9], q[4]
Gate(    6)	cx q[1], q[9]
Gate(    7)	cx q[4], q[1]
Gate(    8)	tdg q[9]
Gate(    9)	cx q[4], q[9]
Gate(   10)	tdg q[4]
Gate(   11)	tdg q[9]
Gate(   12)	 t q[1]
Gate(   13)	cx q[1], q[9]
Gate(   14)	cx q[4], q[1]
Gate(   15)	cx q[9], q[4]
Gate(   16)	 h q[1]
Gate(   17)	 h q[9]
Gate(   18)	 t q[5]
Gate(   19)	 t q[6]
Gate(   20)	 t q[9]
Gate(   21)	cx q[6], q[5]
Gate(   22)	cx q[9], q[6]
Gate(   23)	cx q[5], q[9]
Gate(   24)	tdg q[6]
Gate(   25)	cx q[5], q[6]
Gate(   26)	tdg q[5]
Gate(   27)	tdg q[6]
Gate(   28)	 t q[9]
Gate(   29)	cx q[9], q[6]
Gate(   30)	cx q[5], q[9]
Gate(   31)	cx q[6], q[5]
Gate(   32)	 h q[9]
Gate(   33)	 h q[6]
Gate(   34)	 t q[8]
Gate(   35)	 t q[7]
Gate(   36)	 t q[6]
Gate(   37)	cx q[7], q[8]
Gate(   38)	cx q[6], q[7]
Gate(   39)	cx q[8], q[6]
Gate(   40)	tdg q[7]
Gate(   41)	cx q[8], q[7]
Gate(   42)	tdg q[8]
Gate(   43)	tdg q[7]
Gate(   44)	 t q[6]
Gate(   45)	cx q[6], q[7]
Gate(   46)	cx q[8], q[6]
Gate(   47)	cx q[7], q[8]
Gate(   48)	 h q[6]
Gate(   49)	 h q[9]
Gate(   50)	 t q[5]
Gate(   51)	 t q[6]
Gate(   52)	 t q[9]
Gate(   53)	cx q[6], q[5]
Gate(   54)	cx q[9], q[6]
Gate(   55)	cx q[5], q[9]
Gate(   56)	tdg q[6]
Gate(   57)	cx q[5], q[6]
Gate(   58)	tdg q[5]
Gate(   59)	tdg q[6]
Gate(   60)	 t q[9]
Gate(   61)	cx q[9], q[6]
Gate(   62)	cx q[5], q[9]
Gate(   63)	cx q[6], q[5]
Gate(   64)	 h q[9]
Gate(   65)	 h q[1]
Gate(   66)	 t q[4]
Gate(   67)	 t q[9]
Gate(   68)	 t q[1]
Gate(   69)	cx q[9], q[4]
Gate(   70)	cx q[1], q[9]
Gate(   71)	cx q[4], q[1]
Gate(   72)	tdg q[9]
Gate(   73)	cx q[4], q[9]
Gate(   74)	tdg q[4]
Gate(   75)	tdg q[9]
Gate(   76)	 t q[1]
Gate(   77)	cx q[1], q[9]
Gate(   78)	cx q[4], q[1]
Gate(   79)	cx q[9], q[4]
Gate(   80)	 h q[1]
Gate(   81)	 h q[9]
Gate(   82)	 t q[5]
Gate(   83)	 t q[6]
Gate(   84)	 t q[9]
Gate(   85)	cx q[6], q[5]
Gate(   86)	cx q[9], q[6]
Gate(   87)	cx q[5], q[9]
Gate(   88)	tdg q[6]
Gate(   89)	cx q[5], q[6]
Gate(   90)	tdg q[5]
Gate(   91)	tdg q[6]
Gate(   92)	 t q[9]
Gate(   93)	cx q[9], q[6]
Gate(   94)	cx q[5], q[9]
Gate(   95)	cx q[6], q[5]
Gate(   96)	 h q[9]
Gate(   97)	 h q[6]
Gate(   98)	 t q[8]
Gate(   99)	 t q[7]
Gate(  100)	 t q[6]
Gate(  101)	cx q[7], q[8]
Gate(  102)	cx q[6], q[7]
Gate(  103)	cx q[8], q[6]
Gate(  104)	tdg q[7]
Gate(  105)	cx q[8], q[7]
Gate(  106)	tdg q[8]
Gate(  107)	tdg q[7]
Gate(  108)	 t q[6]
Gate(  109)	cx q[6], q[7]
Gate(  110)	cx q[8], q[6]
Gate(  111)	cx q[7], q[8]
Gate(  112)	 h q[6]
Gate(  113)	 h q[9]
Gate(  114)	 t q[5]
Gate(  115)	 t q[6]
Gate(  116)	 t q[9]
Gate(  117)	cx q[6], q[5]
Gate(  118)	cx q[9], q[6]
Gate(  119)	cx q[5], q[9]
Gate(  120)	tdg q[6]
Gate(  121)	cx q[5], q[6]
Gate(  122)	tdg q[5]
Gate(  123)	tdg q[6]
Gate(  124)	 t q[9]
Gate(  125)	cx q[9], q[6]
Gate(  126)	cx q[5], q[9]
Gate(  127)	cx q[6], q[5]
Gate(  128)	 h q[9]
Gate(  129)	 x q[3]
Gate(  130)	 h q[1]
Gate(  131)	 t q[3]
Gate(  132)	 t q[8]
Gate(  133)	 t q[1]
Gate(  134)	cx q[8], q[3]
Gate(  135)	cx q[1], q[8]
Gate(  136)	cx q[3], q[1]
Gate(  137)	tdg q[8]
Gate(  138)	cx q[3], q[8]
Gate(  139)	tdg q[3]
Gate(  140)	tdg q[8]
Gate(  141)	 t q[1]
Gate(  142)	cx q[1], q[8]
Gate(  143)	cx q[3], q[1]
