
================================================================
         Multi-QPU Mapping by Ajou University QCSS Lab          
================================================================
Gate(    0)	 h q[0]
Gate(    1)	 h q[1]
Gate(    2)	 h q[2]
Gate(    3)	 h q[3]
Gate(    4)	 h q[4]
Gate(    5)	 h q[5]
Gate(    6)	 h q[6]
Gate(    7)	cx q[7], q[0]
Gate(    8)	cx q[9], q[1]
Gate(    9)	cx q[11], q[2]
Gate(   10)	cx q[13], q[3]
Gate(   11)	cx q[8], q[4]
Gate(   12)	cx q[9], q[4]
Gate(   13)	cx q[10], q[5]
Gate(   14)	cx q[11], q[5]
Gate(   15)	cx q[12], q[6]
Gate(   16)	cx q[13], q[6]
Gate(   17)	 x q[7]
Gate(   18)	 x q[9]
Gate(   19)	 x q[10]
Gate(   20)	 x q[11]
Gate(   21)	 x q[12]
Gate(   22)	 x q[13]
Gate(   23)	 h q[13]
Gate(   24)	 h q[0]
Gate(   25)	tdg q[9]
Gate(   26)	 t q[13]
Gate(   27)	 t q[0]
Gate(   28)	cx q[13], q[9]
Gate(   29)	cx q[9], q[0]
Gate(   30)	tdg q[9]
Gate(   31)	cx q[0], q[13]
Gate(   32)	cx q[9], q[13]
Gate(   33)	tdg q[9]
Gate(   34)	tdg q[13]
Gate(   35)	 t q[0]
Gate(   36)	cx q[9], q[0]
Gate(   37)	 s q[9]
Gate(   38)	cx q[0], q[13]
Gate(   39)	cx q[13], q[9]
Gate(   40)	 h q[0]
Gate(   41)	 h q[13]
Gate(   42)	tdg q[7]
Gate(   43)	 t q[8]
Gate(   44)	 t q[13]
Gate(   45)	cx q[8], q[7]
Gate(   46)	cx q[7], q[13]
Gate(   47)	tdg q[7]
Gate(   48)	cx q[13], q[8]
Gate(   49)	cx q[7], q[8]
Gate(   50)	tdg q[7]
Gate(   51)	tdg q[8]
Gate(   52)	 t q[13]
Gate(   53)	cx q[7], q[13]
Gate(   54)	 s q[7]
Gate(   55)	cx q[13], q[8]
Gate(   56)	cx q[8], q[7]
Gate(   57)	 h q[13]
Gate(   58)	 h q[0]
Gate(   59)	tdg q[9]
Gate(   60)	 t q[13]
Gate(   61)	 t q[0]
Gate(   62)	cx q[13], q[9]
Gate(   63)	cx q[9], q[0]
Gate(   64)	tdg q[9]
Gate(   65)	cx q[0], q[13]
Gate(   66)	cx q[9], q[13]
Gate(   67)	tdg q[9]
Gate(   68)	tdg q[13]
Gate(   69)	 t q[0]
Gate(   70)	cx q[9], q[0]
Gate(   71)	 s q[9]
Gate(   72)	cx q[0], q[13]
Gate(   73)	cx q[13], q[9]
Gate(   74)	 h q[0]
Gate(   75)	 h q[13]
Gate(   76)	tdg q[7]
Gate(   77)	 t q[8]
Gate(   78)	 t q[13]
Gate(   79)	cx q[8], q[7]
Gate(   80)	cx q[7], q[13]
Gate(   81)	tdg q[7]
Gate(   82)	cx q[13], q[8]
Gate(   83)	cx q[7], q[8]
Gate(   84)	tdg q[7]
Gate(   85)	tdg q[8]
Gate(   86)	 t q[13]
Gate(   87)	cx q[7], q[13]
Gate(   88)	 s q[7]
