
================================================================
         Multi-QPU Mapping by Ajou University QCSS Lab          
================================================================
Gate(    0)	cx q[4], q[0]
Gate(    1)	cx q[10], q[0]
Gate(    2)	 h q[3]
Gate(    3)	 t q[4]
Gate(    4)	 t q[10]
Gate(    5)	 t q[3]
Gate(    6)	cx q[10], q[4]
Gate(    7)	cx q[3], q[10]
Gate(    8)	cx q[4], q[3]
Gate(    9)	tdg q[10]
Gate(   10)	cx q[4], q[10]
Gate(   11)	tdg q[4]
Gate(   12)	tdg q[10]
Gate(   13)	 t q[3]
Gate(   14)	cx q[3], q[10]
Gate(   15)	cx q[4], q[3]
Gate(   16)	cx q[10], q[4]
Gate(   17)	 h q[3]
Gate(   18)	 h q[10]
Gate(   19)	 t q[7]
Gate(   20)	 t q[5]
Gate(   21)	 t q[10]
Gate(   22)	cx q[5], q[7]
Gate(   23)	cx q[10], q[5]
Gate(   24)	cx q[7], q[10]
Gate(   25)	tdg q[5]
Gate(   26)	cx q[7], q[5]
Gate(   27)	tdg q[7]
Gate(   28)	tdg q[5]
Gate(   29)	 t q[10]
Gate(   30)	cx q[10], q[5]
Gate(   31)	cx q[7], q[10]
Gate(   32)	cx q[5], q[7]
Gate(   33)	 h q[10]
Gate(   34)	 h q[3]
Gate(   35)	 t q[4]
Gate(   36)	 t q[10]
Gate(   37)	 t q[3]
Gate(   38)	cx q[10], q[4]
Gate(   39)	cx q[3], q[10]
Gate(   40)	cx q[4], q[3]
Gate(   41)	tdg q[10]
Gate(   42)	cx q[4], q[10]
Gate(   43)	tdg q[4]
Gate(   44)	tdg q[10]
Gate(   45)	 t q[3]
Gate(   46)	cx q[3], q[10]
Gate(   47)	cx q[4], q[3]
Gate(   48)	cx q[10], q[4]
Gate(   49)	 h q[3]
Gate(   50)	 h q[10]
Gate(   51)	 t q[7]
Gate(   52)	 t q[5]
Gate(   53)	 t q[10]
Gate(   54)	cx q[5], q[7]
Gate(   55)	cx q[10], q[5]
Gate(   56)	cx q[7], q[10]
Gate(   57)	tdg q[5]
Gate(   58)	cx q[7], q[5]
Gate(   59)	tdg q[7]
Gate(   60)	tdg q[5]
Gate(   61)	 t q[10]
Gate(   62)	cx q[10], q[5]
Gate(   63)	cx q[7], q[10]
Gate(   64)	cx q[5], q[7]
Gate(   65)	 h q[10]
Gate(   66)	 h q[2]
Gate(   67)	 t q[4]
Gate(   68)	 t q[10]
Gate(   69)	 t q[2]
Gate(   70)	cx q[10], q[4]
Gate(   71)	cx q[2], q[10]
Gate(   72)	cx q[4], q[2]
Gate(   73)	tdg q[10]
Gate(   74)	cx q[4], q[10]
Gate(   75)	tdg q[4]
Gate(   76)	tdg q[10]
Gate(   77)	 t q[2]
Gate(   78)	cx q[2], q[10]
Gate(   79)	cx q[4], q[2]
Gate(   80)	cx q[10], q[4]
Gate(   81)	 h q[2]
Gate(   82)	 h q[10]
Gate(   83)	 t q[7]
Gate(   84)	 t q[5]
Gate(   85)	 t q[10]
Gate(   86)	cx q[5], q[7]
Gate(   87)	cx q[10], q[5]
Gate(   88)	cx q[7], q[10]
Gate(   89)	tdg q[5]
Gate(   90)	cx q[7], q[5]
Gate(   91)	tdg q[7]
Gate(   92)	tdg q[5]
Gate(   93)	 t q[10]
Gate(   94)	cx q[10], q[5]
Gate(   95)	cx q[7], q[10]
Gate(   96)	cx q[5], q[7]
Gate(   97)	 h q[10]
Gate(   98)	 h q[2]
Gate(   99)	 t q[4]
Gate(  100)	 t q[10]
Gate(  101)	 t q[2]
Gate(  102)	cx q[10], q[4]
